# Matter power spectrum P(k) at redshift z=0
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       4.772172690040e+01 
       1.320553506188e-05       5.959852660327e+01 
       1.662478366574e-05       7.443110504863e+01 
       2.092936262238e-05       9.295498877021e+01 
       2.634850645797e-05       1.160887095200e+02 
       3.317080434276e-05       1.449791727708e+02 
       4.175956851675e-05       1.810584192324e+02 
       5.257218199130e-05       2.261141894854e+02 
       6.618445586232e-05       2.823777883218e+02 
       8.332129335084e-05       3.526331889335e+02 
       1.048952935429e-04       4.403519538076e+02 
       1.320553506188e-04       5.498593018345e+02 
       1.662478366574e-04       6.865366980809e+02 
       2.092936262238e-04       8.570657594747e+02 
       2.634850645797e-04       1.069715863830e+03 
       3.317080434276e-04       1.334672842579e+03 
       4.175956851675e-04       1.664397361483e+03 
       5.257218199130e-04       2.073989817078e+03 
       6.618445586232e-04       2.581525402918e+03 
       8.332129335084e-04       3.208301792736e+03 
       1.048952935429e-03       3.978873136169e+03 
       1.320553506188e-03       4.920590008591e+03 
       1.662478366574e-03       6.062128565273e+03 
       2.092936262238e-03       7.431365882057e+03 
       2.634850645797e-03       9.050816202681e+03 
       3.317080434276e-03       1.093131909287e+04 
       4.175956851675e-03       1.306338174687e+04 
       5.257218199130e-03       1.540530223330e+04 
       6.618445586232e-03       1.786852972897e+04 
       8.332129335084e-03       2.030415567255e+04 
       1.048952935429e-02       2.248360803591e+04 
       1.320553506188e-02       2.409399831114e+04 
       1.662478366571e-02       2.474548046346e+04 
       2.092936245785e-02       2.405604760301e+04 
       2.634838077218e-02       2.184523681692e+04 
       3.315335827376e-02       1.844516982343e+04 
       4.117749966751e-02       1.502446314759e+04 
       4.795254993721e-02       1.305439176681e+04 
       5.286425045417e-02       1.208269806695e+04 
       5.691304009839e-02       1.147462333985e+04 
       6.052726845175e-02       1.101442572017e+04 
       6.389773125215e-02       1.061205964358e+04 
       6.712534820597e-02       1.022199006524e+04 
       7.027060313276e-02       9.819729528056e+03 
       7.337321162010e-02       9.393678301316e+03 
       7.646115596000e-02       8.941174934512e+03 
       7.955530817597e-02       8.465826398302e+03 
       8.267199812167e-02       7.975846143189e+03 
       8.582453480245e-02       7.483092835730e+03 
       8.902415521325e-02       7.001347062889e+03 
       9.228064147818e-02       6.544022041791e+03 
       9.560273636259e-02       6.123463908316e+03 
       9.899843114064e-02       5.748831608494e+03 
       1.024751697738e-01       5.425780866861e+03 
       1.060399965118e-01       5.155763889572e+03 
       1.096996641967e-01       4.935173874803e+03 
       1.134607146169e-01       4.756364138105e+03 
       1.173295385667e-01       4.607577252388e+03 
       1.213124209241e-01       4.474058230189e+03 
       1.254155745339e-01       4.340099185214e+03 
       1.296451656829e-01       4.191035179021e+03 
       1.340073332881e-01       4.016502726490e+03 
       1.385082034762e-01       3.812706806484e+03 
       1.431539009375e-01       3.583828415823e+03 
       1.479505582442e-01       3.341032538922e+03 
       1.529043241975e-01       3.100118249785e+03 
       1.580213721861e-01       2.877512226926e+03 
       1.633079094911e-01       2.686191255278e+03 
       1.687701884391e-01       2.532251722261e+03 
       1.744145202864e-01       2.413759199373e+03 
       1.802472927031e-01       2.320639010051e+03 
       1.862749917180e-01       2.238419687694e+03 
       1.925042289813e-01       2.150809582445e+03 
       1.989417752019e-01       2.045400684192e+03 
       2.055946006350e-01       1.920076458140e+03 
       2.124699235225e-01       1.783860036522e+03 
       2.195752674512e-01       1.651112063099e+03 
       2.269185286902e-01       1.534628768732e+03 
       2.345080547155e-01       1.440989077921e+03 
       2.423527353509e-01       1.368314802281e+03 
       2.504621082570e-01       1.306655136849e+03 
       2.588464809217e-01       1.243357001865e+03 
       2.675170718728e-01       1.171038107197e+03 
       2.764861745867e-01       1.090900931077e+03 
       2.857673485676e-01       1.011395495210e+03 
       2.953756433939e-01       9.421666811671e+02 
       3.053278632782e-01       8.858887072554e+02 
       3.156428820193e-01       8.377338132344e+02 
       3.263420213562e-01       7.900738185436e+02 
       3.374495099765e-01       7.385776793593e+02 
       3.489930462605e-01       6.860834053422e+02 
       3.610044959369e-01       6.379950805380e+02 
       3.735207672561e-01       5.968084824704e+02 
       3.865849226603e-01       5.593806725118e+02 
       4.002476098023e-01       5.218348350302e+02 
       4.145689302190e-01       4.839681110652e+02 
       4.296209176886e-01       4.486155120339e+02 
       4.454908815347e-01       4.166808116461e+02 
       4.622860022811e-01       3.864687901452e+02 
       4.801397825991e-01       3.565234056529e+02 
       4.992213188510e-01       3.279435679506e+02 
       5.197489887388e-01       3.014062516523e+02 
       5.420112893203e-01       2.755868965893e+02 
       5.663997084830e-01       2.505586362434e+02 
       5.934627725556e-01       2.266240015102e+02 
       6.239993427101e-01       2.031341687628e+02 
       6.592291724542e-01       1.801446245342e+02 
       7.011264336281e-01       1.572365717765e+02 
       7.531239737703e-01       1.341310244859e+02 
       8.217203627665e-01       1.103213779639e+02 
       9.202773945291e-01       8.534384322022e+01 
       1.076080634432e+00       5.959320380888e+01 
       1.324171164053e+00       3.671840483454e+01 
       1.664230651192e+00       2.133104124583e+01 
       2.095088782300e+00       1.223151686190e+01 
       2.637560307859e+00       6.955563182844e+00 
       3.320491696597e+00       3.925946909865e+00 
       4.180251376498e+00       2.200810316576e+00 
       5.262624685560e+00       1.226168406676e+00 
       6.625251949387e+00       6.793031537052e-01 
       8.340698038623e+00       3.743804032481e-01 
       1.050031671292e+01       2.053477538803e-01 
       1.321911554179e+01       1.121330901021e-01 
       1.664188047700e+01       6.097957998523e-02 
       2.095088623253e+01       3.303222901247e-02 
       2.637560307775e+01       1.782724539941e-02 
       3.320491696597e+01       9.585912244807e-03 
       4.180251376498e+01       5.135512492793e-03 
       5.262624685560e+01       2.740531394472e-03 
       6.625251949387e+01       1.456051543409e-03 
       8.340698038623e+01       7.695904978682e-04 
       1.050031671292e+02       4.040583803163e-04 
       1.321911554179e+02       2.102566473031e-04 
       1.664188047700e+02       1.080948248085e-04 
       2.095088623253e+02       5.463882687196e-05 
