# Matter power spectrum P(k) at redshift z=0.3
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       3.469810705257e+01 
       1.320553506188e-05       4.333363998211e+01 
       1.662478366574e-05       5.411828885589e+01 
       2.092936262238e-05       6.758688556080e+01 
       2.634850645797e-05       8.440725591761e+01 
       3.317080434276e-05       1.054133316743e+02 
       4.175956851675e-05       1.316463683282e+02 
       5.257218199130e-05       1.644062483249e+02 
       6.618445586232e-05       2.053154311503e+02 
       8.332129335084e-05       2.563982817056e+02 
       1.048952935429e-04       3.201792759256e+02 
       1.320553506188e-04       3.998038716769e+02 
       1.662478366574e-04       4.991422372870e+02 
       2.092936262238e-04       6.231174313877e+02 
       2.634850645797e-04       7.777129551057e+02 
       3.317080434276e-04       9.703334595888e+02 
       4.175956851675e-04       1.210036455080e+03 
       5.257218199130e-04       1.507793992706e+03 
       6.618445586232e-04       1.876727058839e+03 
       8.332129335084e-04       2.332271023913e+03 
       1.048952935429e-03       2.892193232911e+03 
       1.320553506188e-03       3.576271269846e+03 
       1.662478366574e-03       4.405207210585e+03 
       2.092936262238e-03       5.399031744900e+03 
       2.634850645797e-03       6.573777016833e+03 
       3.317080434276e-03       7.936842610997e+03 
       4.175956851675e-03       9.480673352374e+03 
       5.257218199130e-03       1.117421864048e+04 
       6.618445586232e-03       1.295176466246e+04 
       8.332129335084e-03       1.470462426564e+04 
       1.048952935429e-02       1.626523344439e+04 
       1.320553506188e-02       1.740644346296e+04 
       1.662478366571e-02       1.784727618020e+04 
       2.092936245785e-02       1.731544835834e+04 
       2.634838077218e-02       1.568906602089e+04 
       3.315335827376e-02       1.321927969321e+04 
       4.117749966751e-02       1.075407536187e+04 
       4.795254993721e-02       9.341275653636e+03 
       5.286425045417e-02       8.645847287167e+03 
       5.691304009839e-02       8.211014958238e+03 
       6.052726845175e-02       7.882403629458e+03 
       6.389773125215e-02       7.595950907520e+03 
       6.712534820597e-02       7.319274193406e+03 
       7.027060313276e-02       7.035299479437e+03 
       7.337321162010e-02       6.735988296601e+03 
       7.646115596000e-02       6.419271943991e+03 
       7.955530817597e-02       6.087766623382e+03 
       8.267199812167e-02       5.747350238023e+03 
       8.582453480245e-02       5.406030126792e+03 
       8.902415521325e-02       5.073235898068e+03 
       9.228064147818e-02       4.758186148286e+03 
       9.560273636259e-02       4.469183693056e+03 
       9.899843114064e-02       4.212338096213e+03 
       1.024751697738e-01       3.991331280434e+03 
       1.060399965118e-01       3.806905210517e+03 
       1.096996641967e-01       3.656450303658e+03 
       1.134607146169e-01       3.534593006611e+03 
       1.173295385667e-01       3.433213925970e+03 
       1.213124209241e-01       3.342291802294e+03 
       1.254155745339e-01       3.251146040024e+03 
       1.296451656829e-01       3.149913936432e+03 
       1.340073332881e-01       3.031667796980e+03 
       1.385082034762e-01       2.893960477749e+03 
       1.431539009375e-01       2.739650123073e+03 
       1.479505582442e-01       2.576301826382e+03 
       1.529043241975e-01       2.414601543559e+03 
       1.580213721861e-01       2.265463648946e+03 
       1.633079094911e-01       2.137410437059e+03 
       1.687701884391e-01       2.034310530576e+03 
       1.744145202864e-01       1.954748249921e+03 
       1.802472927031e-01       1.891921729543e+03 
       1.862749917180e-01       1.836253457804e+03 
       1.925042289813e-01       1.777002420828e+03 
       1.989417752019e-01       1.706037693428e+03 
       2.055946006350e-01       1.622088321991e+03 
       2.124699235225e-01       1.531143728567e+03 
       2.195752674512e-01       1.442634330362e+03 
       2.269185286902e-01       1.364837180380e+03 
       2.345080547155e-01       1.301880396227e+03 
       2.423527353509e-01       1.252404179462e+03 
       2.504621082570e-01       1.209958678285e+03 
       2.588464809217e-01       1.166414115816e+03 
       2.675170718728e-01       1.117101221464e+03 
       2.764861745867e-01       1.062880945591e+03 
       2.857673485676e-01       1.009149672337e+03 
       2.953756433939e-01       9.619688967893e+02 
       3.053278632782e-01       9.228916955915e+02 
       3.156428820193e-01       8.888459417395e+02 
       3.263420213562e-01       8.550749092271e+02 
       3.374495099765e-01       8.189527600114e+02 
       3.489930462605e-01       7.822637325217e+02 
       3.610044959369e-01       7.482861751355e+02 
       3.735207672561e-01       7.184671163923e+02 
       3.865849226603e-01       6.908648907889e+02 
       4.002476098023e-01       6.631698127963e+02 
       4.145689302190e-01       6.352830696807e+02 
       4.296209176886e-01       6.088435548546e+02 
       4.454908815347e-01       5.843195308501e+02 
       4.622860022811e-01       5.607023478710e+02 
       4.801397825991e-01       5.371543071844e+02 
       4.992213188510e-01       5.142541053808e+02 
       5.197489887388e-01       4.923065628467e+02 
       5.420112893203e-01       4.705336165419e+02 
       5.663997084830e-01       4.488965971436e+02 
       5.934627725556e-01       4.274353873583e+02 
       6.239993427101e-01       4.056636356193e+02 
       6.592291724542e-01       3.833752429250e+02 
       7.011264336281e-01       3.600108217217e+02 
       7.531239737703e-01       3.348515139998e+02 
       8.217203627665e-01       3.066500203056e+02 
       9.202773945291e-01       2.733999390388e+02 
       1.076080634432e+00       2.326239173608e+02 
       1.324171164053e+00       1.858003407909e+02 
       1.664230651192e+00       1.419946246463e+02 
       2.095088782300e+00       1.051358833711e+02 
       2.637560307859e+00       7.518603612278e+01 
       3.320491696597e+00       5.187188846543e+01 
       4.180251376498e+00       3.461443453225e+01 
       5.262624685560e+00       2.244547176219e+01 
       6.625251949387e+00       1.421527180666e+01 
       8.340698038623e+00       8.835196331766e+00 
       1.050031671292e+01       5.411600499790e+00 
       1.321911554179e+01       3.277811899275e+00 
       1.664188047700e+01       1.968728509165e+00 
       2.095088623253e+01       1.175052727390e+00 
       2.637560307775e+01       6.980770136413e-01 
       3.320491696597e+01       4.132883213744e-01 
       4.180251376498e+01       2.440624145589e-01 
       5.262624685560e+01       1.438594658223e-01 
       6.625251949387e+01       8.468001899287e-02 
       8.340698038623e+01       4.979511416624e-02 
       1.050031671292e+02       2.925985047694e-02 
       1.321911554179e+02       1.718392699822e-02 
       1.664188047700e+02       1.008788925778e-02 
       2.095088623253e+02       5.920408813040e-03 
       2.637560307775e+02       3.473843740503e-03 
       3.320491696597e+02       2.037983972399e-03 
       4.180251376498e+02       1.195477142751e-03 
       5.262624685560e+02       7.012051785087e-04 
       6.625251949387e+02       4.112652680298e-04 
       8.340698038623e+02       2.412010503615e-04 
       1.050031671292e+03       1.414561554001e-04 
       1.321911554179e+03       8.295715650819e-05 
       1.664188047700e+03       4.864946255266e-05 
       2.095088623253e+03       2.852965345001e-05 
       2.637560307775e+03       1.673056977062e-05 
       3.320491696597e+03       9.811194199104e-06 
       4.180251376498e+03       5.753481759461e-06 
       5.262624685560e+03       3.373944549061e-06 
       6.625251949387e+03       1.978535812578e-06 
       8.340698038623e+03       1.160243091101e-06 
       1.050031671292e+04       6.803829247116e-07 
