# Matter power spectrum P(k) at redshift z=1
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       1.755020231598e+01 
       1.320553506188e-05       2.191803231354e+01 
       1.662478366574e-05       2.737288119915e+01 
       2.092936262238e-05       3.418526977387e+01 
       2.634850645797e-05       4.269298880040e+01 
       3.317080434276e-05       5.331785200143e+01 
       4.175956851675e-05       6.658654195474e+01 
       5.257218199130e-05       8.315658724104e+01 
       6.618445586232e-05       1.038487157831e+02 
       8.332129335084e-05       1.296870280287e+02 
       1.048952935429e-04       1.619487551908e+02 
       1.320553506188e-04       2.022255585228e+02 
       1.662478366574e-04       2.524870141845e+02 
       2.092936262238e-04       3.152104056677e+02 
       2.634850645797e-04       3.934348933496e+02 
       3.317080434276e-04       4.909158180082e+02 
       4.175956851675e-04       6.122506236247e+02 
       5.257218199130e-04       7.630120662461e+02 
       6.618445586232e-04       9.498633364465e+02 
       8.332129335084e-04       1.180630968344e+03 
       1.048952935429e-03       1.464304262883e+03 
       1.320553506188e-03       1.810894392473e+03 
       1.662478366574e-03       2.230927984588e+03 
       2.092936262238e-03       2.734610213287e+03 
       2.634850645797e-03       3.330140209220e+03 
       3.317080434276e-03       4.021388306835e+03 
       4.175956851675e-03       4.804693709552e+03 
       5.257218199130e-03       5.664521756324e+03 
       6.618445586232e-03       6.568275497456e+03 
       8.332129335084e-03       7.460328880604e+03 
       1.048952935429e-02       8.256643724829e+03 
       1.320553506188e-02       8.841570599204e+03 
       1.662478366571e-02       9.073042600981e+03 
       2.092936245785e-02       8.811703397222e+03 
       2.634838077218e-02       7.993292830926e+03 
       3.315335827376e-02       6.743767706554e+03 
       4.117749966751e-02       5.492471635075e+03 
       4.795254993721e-02       4.773838155780e+03 
       5.286425045417e-02       4.419389202526e+03 
       5.691304009839e-02       4.197319625167e+03 
       6.052726845175e-02       4.029108039970e+03 
       6.389773125215e-02       3.882037445072e+03 
       6.712534820597e-02       3.739793086364e+03 
       7.027060313276e-02       3.593514679178e+03 
       7.337321162010e-02       3.439193414618e+03 
       7.646115596000e-02       3.275833299111e+03 
       7.955530817597e-02       3.104746410426e+03 
       8.267199812167e-02       2.929035344486e+03 
       8.582453480245e-02       2.752816500816e+03 
       8.902415521325e-02       2.580834994223e+03 
       9.228064147818e-02       2.417928064748e+03 
       9.560273636259e-02       2.268277347715e+03 
       9.899843114064e-02       2.135056074053e+03 
       1.024751697738e-01       2.020148510995e+03 
       1.060399965118e-01       1.923916626181e+03 
       1.096996641967e-01       1.845053560466e+03 
       1.134607146169e-01       1.780814029143e+03 
       1.173295385667e-01       1.726997404104e+03 
       1.213124209241e-01       1.678474017255e+03 
       1.254155745339e-01       1.629783633729e+03 
       1.296451656829e-01       1.575988384974e+03 
       1.340073332881e-01       1.513504258439e+03 
       1.385082034762e-01       1.441206960500e+03 
       1.431539009375e-01       1.360538378886e+03 
       1.479505582442e-01       1.275357191393e+03 
       1.529043241975e-01       1.191076737874e+03 
       1.580213721861e-01       1.113256365236e+03 
       1.633079094911e-01       1.046208104741e+03 
       1.687701884391e-01       9.919416648701e+02 
       1.744145202864e-01       9.497081732147e+02 
       1.802472927031e-01       9.160452582771e+02 
       1.862749917180e-01       8.860449040148e+02 
       1.925042289813e-01       8.543088271253e+02 
       1.989417752019e-01       8.167259847131e+02 
       2.055946006350e-01       7.727042508838e+02 
       2.124699235225e-01       7.252379781742e+02 
       2.195752674512e-01       6.790928450012e+02 
       2.269185286902e-01       6.384515911402e+02 
       2.345080547155e-01       6.054098820086e+02 
       2.423527353509e-01       5.792914567638e+02 
       2.504621082570e-01       5.568107704016e+02 
       2.588464809217e-01       5.338633273398e+02 
       2.675170718728e-01       5.080876899859e+02 
       2.764861745867e-01       4.799100929577e+02 
       2.857673485676e-01       4.520575114834e+02 
       2.953756433939e-01       4.275883358255e+02 
       3.053278632782e-01       4.073205339650e+02 
       3.156428820193e-01       3.896799444720e+02 
       3.263420213562e-01       3.722580908879e+02 
       3.374495099765e-01       3.537049661104e+02 
       3.489930462605e-01       3.349172761984e+02 
       3.610044959369e-01       3.175758180362e+02 
       3.735207672561e-01       3.024258348328e+02 
       3.865849226603e-01       2.884809072421e+02 
       4.002476098023e-01       2.745417617007e+02 
       4.145689302190e-01       2.605561414920e+02 
       4.296209176886e-01       2.473735764100e+02 
       4.454908815347e-01       2.352476763896e+02 
       4.622860022811e-01       2.236558353895e+02 
       4.801397825991e-01       2.121574402716e+02 
       4.992213188510e-01       2.010653253112e+02 
       5.197489887388e-01       1.905563467880e+02 
       5.420112893203e-01       1.802242164052e+02 
       5.663997084830e-01       1.700660735127e+02 
       5.934627725556e-01       1.601311405716e+02 
       6.239993427101e-01       1.501892654499e+02 
       6.592291724542e-01       1.401869502450e+02 
       7.011264336281e-01       1.299044339152e+02 
       7.531239737703e-01       1.190967893101e+02 
       8.217203627665e-01       1.073399722743e+02 
       9.202773945291e-01       9.401295374610e+01 
       1.076080634432e+00       7.851504306944e+01 
       1.324171164053e+00       6.187149136525e+01 
       1.664230651192e+00       4.729194552416e+01 
       2.095088782300e+00       3.556384273204e+01 
       2.637560307859e+00       2.618643893322e+01 
       3.320491696597e+00       1.878266293523e+01 
       4.180251376498e+00       1.307565171254e+01 
       5.262624685560e+00       8.819979077261e+00 
       6.625251949387e+00       5.770135014218e+00 
       8.340698038623e+00       3.673104463954e+00 
       1.050031671292e+01       2.284911786028e+00 
       1.321911554179e+01       1.395018761344e+00 
       1.664188047700e+01       8.392388575762e-01 
       2.095088623253e+01       4.991798522779e-01 
       2.637560307775e+01       2.943703200889e-01 
       3.320491696597e+01       1.724810542556e-01 
       4.180251376498e+01       1.005830931957e-01 
       5.262624685560e+01       5.845104964279e-02 
