# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       1.170540052178e+01 
       1.320553506188e-05       1.461859793506e+01 
       1.662478366574e-05       1.825680439884e+01 
       2.092936262238e-05       2.280044529590e+01 
       2.634850645797e-05       2.847481960594e+01 
       3.317080434276e-05       3.556126921091e+01 
       4.175956851675e-05       4.441108177191e+01 
       5.257218199130e-05       5.546282682097e+01 
       6.618445586232e-05       6.926393951136e+01 
       8.332129335084e-05       8.649753387077e+01 
       1.048952935429e-04       1.080156247276e+02 
       1.320553506188e-04       1.348800774638e+02 
       1.662478366574e-04       1.684127236560e+02 
       2.092936262238e-04       2.102559342783e+02 
       2.634850645797e-04       2.624444365355e+02 
       3.317080434276e-04       3.274878263164e+02 
       4.175956851675e-04       4.084606037827e+02 
       5.257218199130e-04       5.090922086296e+02 
       6.618445586232e-04       6.338437815419e+02 
       8.332129335084e-04       7.879532653241e+02 
       1.048952935429e-03       9.774276920526e+02 
       1.320553506188e-03       1.208949161731e+03 
       1.662478366574e-03       1.489561844809e+03 
       2.092936262238e-03       1.826128068358e+03 
       2.634850645797e-03       2.224175505259e+03 
       3.317080434276e-03       2.686372633759e+03 
       4.175956851675e-03       3.210385562617e+03 
       5.257218199130e-03       3.785986169618e+03 
       6.618445586232e-03       4.391522485816e+03 
       8.332129335084e-03       4.990252060923e+03 
       1.048952935429e-02       5.525912895073e+03 
       1.320553506188e-02       5.921392496042e+03 
       1.662478366571e-02       6.081507541631e+03 
       2.092936245785e-02       5.912227479260e+03 
       2.634838077218e-02       5.368755531284e+03 
       3.315335827376e-02       4.533149781100e+03 
       4.117749966751e-02       3.692461219396e+03 
       4.795254993721e-02       3.208331112389e+03 
       5.286425045417e-02       2.969496035276e+03 
       5.691304009839e-02       2.820085994567e+03 
       6.052726845175e-02       2.707039353788e+03 
       6.389773125215e-02       2.608101214423e+03 
       6.712534820597e-02       2.512276229232e+03 
       7.027060313276e-02       2.413419611948e+03 
       7.337321162010e-02       2.308739143102e+03 
       7.646115596000e-02       2.197511082161e+03 
       7.955530817597e-02       2.080632134880e+03 
       8.267199812167e-02       1.960197962045e+03 
       8.582453480245e-02       1.839111745765e+03 
       8.902415521325e-02       1.720692823418e+03 
       9.228064147818e-02       1.608293106290e+03 
       9.560273636259e-02       1.504920500610e+03 
       9.899843114064e-02       1.412859838568e+03 
       1.024751697738e-01       1.333474042010e+03 
       1.060399965118e-01       1.267096892330e+03 
       1.096996641967e-01       1.212875575126e+03 
       1.134607146169e-01       1.168955771622e+03 
       1.173295385667e-01       1.132387546051e+03 
       1.213124209241e-01       1.099583430103e+03 
       1.254155745339e-01       1.066633996346e+03 
       1.296451656829e-01       1.030023949251e+03 
       1.340073332881e-01       9.871173533790e+02 
       1.385082034762e-01       9.370430751676e+02 
       1.431539009375e-01       8.808029274190e+02 
       1.479505582442e-01       8.211196114042e+02 
       1.529043241975e-01       7.619041342056e+02 
       1.580213721861e-01       7.071946757898e+02 
       1.633079094911e-01       6.601668815638e+02 
       1.687701884391e-01       6.223334572436e+02 
       1.744145202864e-01       5.932161537569e+02 
       1.802472927031e-01       5.703367916703e+02 
       1.862749917180e-01       5.501249108907e+02 
       1.925042289813e-01       5.285935721400e+02 
       1.989417752019e-01       5.026839997946e+02 
       2.055946006350e-01       4.718948463662e+02 
       2.124699235225e-01       4.384179683065e+02 
       2.195752674512e-01       4.057868080308e+02 
       2.269185286902e-01       3.771609177117e+02 
       2.345080547155e-01       3.541444450409e+02 
       2.423527353509e-01       3.362871115778e+02 
       2.504621082570e-01       3.211308066654e+02 
       2.588464809217e-01       3.055798046088e+02 
       2.675170718728e-01       2.878043838506e+02 
       2.764861745867e-01       2.681049455962e+02 
       2.857673485676e-01       2.485673895083e+02 
       2.953756433939e-01       2.315512817053e+02 
       3.053278632782e-01       2.177221277664e+02 
       3.156428820193e-01       2.058836558605e+02 
       3.263420213562e-01       1.941706912180e+02 
       3.374495099765e-01       1.815166307048e+02 
       3.489930462605e-01       1.686147361298e+02 
       3.610044959369e-01       1.567982236855e+02 
       3.735207672561e-01       1.466763411200e+02 
       3.865849226603e-01       1.374782089899e+02 
       4.002476098023e-01       1.282475356361e+02 
